"ProductID","ProductName","SupplierID","CategoryID","QuantityPerUnit","UnitCost","UnitPrice","UnitsInStock","UnitsOnOrder"
"1","Lenin Jeansshorts","1","1","10","15.37","20","39","0"
"2","Mr2 Trousers","1","1","10","16.17","19","17","40"
"3","Chantell Shirt","1","2","20","15.45","20","13","70"
"4","Rossi Shorts","2","2","15","19.34","22","53","0"
"5","O-Man Underwear","2","1","100","4.72","6","0","0"
"6","Shagall Socks","3","2","50","3.21","4","120","0"
"7","Runner Shoes","3","7","40","33.11","40","15","0"
"8","Tuxedo Top","3","2","20","16.14","20","6","0"
"9","Fuji Boots","4","6","10","32.9","39","29","0"
"10","Sapporoo Gloves","4","8","20","6.2","7","31","0"
"11","Desperado Jeans","5","1","25","21.1","28","22","30"
"12","Tank Swimsuit","5","4","20","7.92","10","86","0"
"13","Aino Shoes","6","8","25","21.11","25","24","0"
"14","Kool Sunglasses","6","7","21","20.36","23.25","35","0"
"15","Sumi Underwear","6","2","30","4.98","6.5","39","0"
"16","Wimbledon T-Shirt","7","3","24","7.33","9.45","29","0"
"17","TieBreak Tennis shoes","7","6","36","19.35","25","0","0"
"18","Deuce Shirt","7","8","18","22.09","25.5","42","0"
"19","Squash Shorts","8","3","1","7.4","9.2","25","0"
"20","Tennis Suit","8","3","1","64.49","81","40","0"
"21","Basket Shoes","8","3","1","8.78","10","3","40"
"22","Ravellis Träskor","9","5","90","2.65","3.5","104","0"
"23","DSW Sandals","9","5","100","7.43","9","61","0"
"24","Samba Soccer Socks","10","1","100","3.9","4.5","20","0"
"25","Basket Vest","11","3","1","10.85","14","76","0"
"26","Bike Helmet","11","3","1","26.13","31.23","15","0"
"27","Tracksuit","11","3","1","36.06","43.9","49","0"
"28","RDL Suit","12","7","1","36.81","45.6","26","0"
"29","Davenport Shoes","12","6","1","100.74","123.79","0","0"
"30","Baby Dark Lounge Suit","13","8","1","22.71","25.89","10","0"
"31","Rossi Bermuda Shorts","14","1","20","7.53","8.5","0","70"
"32","Riviera Swimsuit","14","4","30","15.12","19","9","40"
"33","Casual Boots","15","3","25","20.2","25.5","112","0"
"34","Baywatch Swimsuit","16","4","12","6.76","8","111","0"
"35","LA. Shorts","16","4","14","5.17","6","20","0"
"36","Mehmet-Tröja","17","8","20","6.45","8","112","0"
"37","Mehmet-Skor","17","8","21","3.43","4","11","50"
"38","Le Baby Dress","18","2","4","62.38","80.5","17","0"
"39","Terence Top","18","2","3","48.17","60","69","0"
"40","Duck Trousers","19","8","1","16.34","18.4","123","0"
"41","Duck Shirt","19","8","1","7.28","9.65","85","0"
"42","Walking Shoes","20","5","1","10.95","14","26","0"
"43","Summer Shorts","20","4","1","10.48","12","17","10"
"44","Okkaba Skin Jackets","20","2","7","67.17","75.45","27","0"
"45","Danske Treshoe","21","6","100","8.44","9.5","5","70"
"46","Rodbye Troje","21","8","40","9.07","12","95","0"
"47","Lundenhagen Boots","22","6","14","22.12","25.5","36","0"
"48","Root Boot","22","6","25","28.35","32.75","15","70"
"49","Finnish Sport Blades","23","3","1","15.43","20","10","60"
"50","Finnish Swimsuit","23","4","1","13.57","16.25","65","0"
"51","Summit Hiking Boots","24","6","10","82.74","99.9","20","0"
"52","Winter Boots","24","5","14","70.81","80","38","0"
"53","Jack Flash Dress","24","2","6","52.38","60.8","0","0"
"54","Patamonia Fleece Jacket","25","3","24","30.27","35.45","21","0"
"55","Feiss Fleece Trousers","25","3","20","33.18","39","115","0"
"56","Slip-on Shoes","26","5","15","34.17","38","21","10"
"57","Lightweight Sandals","26","5","20","16.14","19.5","36","0"
"58","Onesy Dress","27","8","20","37.17","48.25","62","0"
"59","Rasta WCT","28","3","105","6.69","8.5","79","0"
"60","Game Over T-Shirt","28","3","53","4.44","5","19","0"
"61","AAA Running Shoe","29","3","20","22.24","26.5","113","0"
"62","Lace Shoes","29","3","30","25.39","29.3","17","0"
"63","Serve-Shirt","7","2","68","15.9","19.9","24","0"
"64","WFS Shoes","12","5","1","29.25","33.25","22","80"
"65","Stretch Pants","2","2","40","8.68","10.05","76","0"
"66","Langoste Shirt","2","2","15","16.58","19","4","100"
"67","Minnki Pälsii","16","2","26","46.1","60","52","0"
"68","Cap","8","3","1","9.67","12.5","6","10"
"69","Tube Socks","15","3","100","1.65","2","26","0"
"70","US-Master Jeans","7","1","15","24.98","29","15","10"
"71","Atles Lussekofta","15","1","10","26.49","30.5","26","0"
"72","Oyaki Kimono","14","2","30","8.96","11.8","14","0"
"73","Mehmet-Napp","17","8","100","0.89","1.1","101","0"
"74","X-Train Shoes","4","7","30","24.39","30","4","20"
"75","Bow tie","12","1","1","6.61","7.75","125","0"
"76","Halter Dress","23","2","2","304.7","399","57","0"
"77","Wrap Skirt","12","2","1","10.95","13","32","0"
